Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,8.1875,7.75,8.1875,7.8125,30100.0,7.088197708129883
2000-01-04,7.875,7.4375,7.75,7.5,17500.0,6.804669380187988
2000-01-05,7.5625,7.375,7.5,7.375,26800.0,6.691256523132324
2000-01-06,7.6875,7.25,7.375,7.5625,48400.0,6.861374378204346
2000-01-07,7.875,7.375,7.5625,7.375,20900.0,6.691256523132324
2000-01-10,7.5,7.0,7.5,7.0625,84300.0,6.40772819519043
2000-01-11,7.25,6.8125,7.1875,6.875,31500.0,6.237614154815674
2000-01-12,7.125,6.8125,7.0,7.125,28200.0,6.46443510055542
2000-01-13,7.25,7.125,7.25,7.125,17900.0,6.46443510055542
2000-01-14,7.1875,6.9375,7.1875,6.9375,29100.0,6.294317722320557
2000-01-18,7.25,7.0625,7.0625,7.25,50100.0,6.5778489112854
2000-01-19,7.375,7.25,7.25,7.375,12800.0,6.691256523132324
2000-01-20,7.625,7.3125,7.3125,7.625,27200.0,6.9180779457092285
2000-01-21,7.75,7.4375,7.5,7.75,43000.0,7.031491279602051
2000-01-24,7.875,7.4375,7.8125,7.4375,88400.0,6.747963905334473
2000-01-25,7.375,7.0,7.375,7.1875,969200.0,6.5211405754089355
2000-01-26,7.25,7.125,7.25,7.125,9200.0,6.46443510055542
2000-01-27,7.1875,7.0625,7.125,7.0625,9600.0,6.40772819519043
2000-01-28,7.125,7.0,7.125,7.0,26300.0,6.351024150848389
2000-01-31,7.0625,6.75,7.0,6.75,16400.0,6.124201774597168
2000-02-01,6.8125,6.625,6.8125,6.625,43900.0,6.010788917541504
2000-02-02,6.8125,6.6875,6.75,6.8125,40500.0,6.180908679962158
2000-02-03,7.0,6.75,6.75,7.0,34500.0,6.351024150848389
2000-02-04,7.0,6.6875,7.0,6.6875,70400.0,6.067495346069336
2000-02-07,6.6875,6.4375,6.6875,6.4375,20100.0,5.84067440032959
2000-02-08,6.4375,6.0,6.375,6.0,39000.0,5.443733215332031
2000-02-09,5.9375,5.8125,5.875,5.875,128200.0,5.330322265625
2000-02-10,6.5,5.9375,6.0,6.4375,132800.0,5.84067440032959
2000-02-11,6.5,6.3125,6.5,6.375,19500.0,5.783967018127441
2000-02-14,6.5625,6.25,6.25,6.4375,19900.0,5.84067440032959
2000-02-15,6.5,6.125,6.5,6.375,66900.0,5.783967018127441
2000-02-16,6.6875,6.25,6.375,6.6875,40600.0,6.067495346069336
2000-02-17,7.3125,6.75,6.75,6.9375,68600.0,6.294317722320557
2000-02-18,7.125,6.9375,7.0,7.0,31400.0,6.351024150848389
2000-02-22,7.1875,6.9375,7.0,7.0,24500.0,6.351024150848389
2000-02-23,7.0625,7.0,7.0,7.0,12700.0,6.351024150848389
2000-02-24,7.0,6.9375,7.0,6.9375,24800.0,6.294317722320557
2000-02-25,7.125,6.9375,7.0,6.9375,17000.0,6.294317722320557
2000-02-28,7.0,6.75,6.9375,7.0,97300.0,6.351024150848389
2000-02-29,7.0625,6.8125,7.0,6.9375,29000.0,6.294317722320557
2000-03-01,7.0,6.75,6.875,6.9375,83800.0,6.294317722320557
2000-03-02,7.0,6.75,6.9375,6.875,52400.0,6.237614154815674
2000-03-03,6.8125,6.625,6.75,6.8125,81000.0,6.180908679962158
2000-03-06,7.0625,6.875,6.875,7.0625,76500.0,6.40772819519043
2000-03-07,7.1875,6.875,7.1875,7.125,32700.0,6.46443510055542
2000-03-08,7.125,6.625,7.125,6.875,32000.0,6.237614154815674
2000-03-09,7.25,6.875,6.875,7.125,45200.0,6.499889373779297
2000-03-10,7.125,6.6875,7.125,6.875,16600.0,6.271823883056641
2000-03-13,6.9375,6.8125,6.8125,6.9375,11400.0,6.32883882522583
2000-03-14,6.9375,6.75,6.8125,6.75,71200.0,6.157789707183838
2000-03-15,6.75,6.5625,6.75,6.625,36900.0,6.043755054473877
2000-03-16,6.6875,6.625,6.625,6.625,27200.0,6.043755054473877
2000-03-17,6.75,6.5625,6.5625,6.6875,39100.0,6.100772380828857
2000-03-20,7.0625,6.6875,6.8125,7.0,94400.0,6.385855674743652
2000-03-21,7.375,6.875,7.0,7.3125,105500.0,6.670938491821289
2000-03-22,7.5625,7.3125,7.3125,7.4375,60900.0,6.78497314453125
2000-03-23,7.5,7.375,7.375,7.375,17100.0,6.727954864501953
2000-03-24,7.375,6.8125,7.375,6.9375,55200.0,6.32883882522583
2000-03-27,7.3125,6.9375,6.9375,7.0,90600.0,6.385855674743652
2000-03-28,7.1875,6.9375,7.0,7.0625,84900.0,6.44287109375
2000-03-29,7.5,7.0,7.0,7.4375,70900.0,6.78497314453125
2000-03-30,7.5,7.375,7.5,7.375,19300.0,6.727954864501953
2000-03-31,7.9375,7.4375,7.5,7.6875,72700.0,7.01303768157959
2000-04-03,7.8125,7.625,7.75,7.8125,43600.0,7.127071857452393
2000-04-04,7.75,7.5625,7.6875,7.625,86100.0,6.956019878387451
2000-04-05,7.5625,7.3125,7.5,7.4375,52500.0,6.78497314453125
2000-04-06,7.6875,7.4375,7.4375,7.625,31400.0,6.956019878387451
2000-04-07,7.9375,7.5625,7.625,7.75,96900.0,7.07005500793457
2000-04-10,8.125,7.625,7.6875,8.125,79100.0,7.4121551513671875
2000-04-11,8.25,7.8125,8.25,8.125,100300.0,7.4121551513671875
2000-04-12,8.125,7.75,8.125,7.8125,50800.0,7.127071857452393
2000-04-13,8.0625,7.75,7.875,8.0,45800.0,7.298121929168701
2000-04-14,8.25,7.25,8.0625,7.25,90600.0,6.613924503326416
2000-04-17,7.625,7.25,7.25,7.3125,26600.0,6.670938491821289
2000-04-18,7.4375,7.3125,7.4375,7.375,25500.0,6.727954864501953
2000-04-19,7.625,7.25,7.25,7.625,17500.0,6.956019878387451
2000-04-20,7.8125,7.625,7.625,7.75,12900.0,7.07005500793457
2000-04-24,7.9375,7.5625,7.875,7.5625,7700.0,6.899005889892578
2000-04-25,7.6875,7.5625,7.625,7.625,7100.0,6.956019878387451
2000-04-26,8.3125,7.6875,7.6875,8.25,66500.0,7.526184558868408
2000-04-27,8.1875,8.0,8.125,8.0,28500.0,7.298121929168701
2000-04-28,8.4375,7.9375,8.0,8.4375,32400.0,7.69723653793335
2000-05-01,8.375,8.0625,8.375,8.25,20400.0,7.526184558868408
2000-05-02,8.4375,8.25,8.25,8.3125,59800.0,7.583203315734863
2000-05-03,8.3125,7.9375,8.3125,8.125,118400.0,7.4121551513671875
